id,nombre,estado,detalle,values_updated_at,filas
313,Generación programada PHF6 Exportación Portugal,vacio,sin valores (aún no publicado),,0
314,Generación programada PHF6 Exportación Marruecos,vacio,sin valores (aún no publicado),,0
315,Generación programada PHF6 Exportación Andorra,vacio,sin valores (aún no publicado),,0
316,Generación programada PHF7 Hidráulica UGH,vacio,sin valores (aún no publicado),,0
317,Generación programada PHF7 Hidráulica no UGH,vacio,sin valores (aún no publicado),,0
318,Generación programada PHF7 Turbinación bombeo,vacio,sin valores (aún no publicado),,0
319,Generación programada PHF7 Nuclear,vacio,sin valores (aún no publicado),,0
320,Generación programada PHF7 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
321,Generación programada PHF7 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
322,Generación programada PHF7 Hulla antracita,vacio,sin valores (aún no publicado),,0
323,Generación programada PHF7 Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
324,Generación programada PHF7 Ciclo combinado,vacio,sin valores (aún no publicado),,0
325,Generación programada PHF7 Fuel,vacio,sin valores (aún no publicado),,0
326,Generación programada PHF7 Gas Natural - Turbina de vapor,vacio,sin valores (aún no publicado),,0
327,Generación programada PHF7 Eólica terrestre,vacio,sin valores (aún no publicado),,0
328,Generación programada PHF7 Eólica marina,vacio,sin valores (aún no publicado),,0
329,Generación programada PHF7 Solar fotovoltaica,vacio,sin valores (aún no publicado),,0
330,Generación programada PHF7 Solar térmica,vacio,sin valores (aún no publicado),,0
331,Generación programada PHF7 Océano y geotérmica,vacio,sin valores (aún no publicado),,0
332,Generación programada PHF7 Gas Natural Cogeneración,vacio,sin valores (aún no publicado),,0
333,Generación programada PHF7 Derivados del petróleo ó carbón,vacio,sin valores (aún no publicado),,0
334,Generación programada PHF7 Subproductos minería,vacio,sin valores (aún no publicado),,0
335,Generación programada PHF7 Energía residual,vacio,sin valores (aún no publicado),,0
336,Generación programada PHF7 Biomasa,vacio,sin valores (aún no publicado),,0
337,Generación programada PHF7 Biogás,vacio,sin valores (aún no publicado),,0
338,Generación programada PHF7 Residuos domésticos y similares,vacio,sin valores (aún no publicado),,0
339,Generación programada PHF7 Residuos varios,vacio,sin valores (aún no publicado),,0
340,Generación programada PHF7 Consumo bombeo,vacio,sin valores (aún no publicado),,0
341,Generación programada PHF7 Enlace Baleares,vacio,sin valores (aún no publicado),,0
342,Generación programada PHF7 Genéricas,vacio,sin valores (aún no publicado),,0
343,Generación programada PHF7 Importación Francia,vacio,sin valores (aún no publicado),,0
344,Generación programada PHF7 Importación Portugal,vacio,sin valores (aún no publicado),,0
345,Generación programada PHF7 Importación Marruecos,vacio,sin valores (aún no publicado),,0
346,Generación programada PHF7 Importación Andorra,vacio,sin valores (aún no publicado),,0
347,Generación programada PHF7 Exportación Francia,vacio,sin valores (aún no publicado),,0
348,Generación programada PHF7 Exportación Portugal,vacio,sin valores (aún no publicado),,0
349,Generación programada PHF7 Exportación Marruecos,vacio,sin valores (aún no publicado),,0
350,Generación programada PHF7 Exportación Andorra,vacio,sin valores (aún no publicado),,0
351,Demanda programada PBF Comercializadores mercado libre,ok,,2026-08-12T14:16:11.000+02:00,192
352,Demanda programada PBF Comercializadores de referencia,ok,,2026-08-12T14:16:11.000+02:00,192
353,Demanda programada PBF Consumos directos en mercado,ok,,2026-08-12T14:16:11.000+02:00,192
354,Demanda programada PBF Consumo de Servicios Auxiliares,ok,,2026-08-12T14:16:11.000+02:00,192
355,Demanda programada PBF Corrección eólica,vacio,sin valores (aún no publicado),,0
356,Demanda programada PBF Corrección solar,vacio,sin valores (aún no publicado),,0
357,Demanda programada PBF Corrección REE,vacio,sin valores (aún no publicado),,0
358,Demanda programada PVP Comercializadores mercado libre,ok,,2026-08-12T15:42:20.000+02:00,192
359,Demanda programada PVP Comercializadores de referencia,ok,,2026-08-12T15:42:20.000+02:00,192
360,Demanda programada PVP Consumos directos en mercado,ok,,2026-08-12T15:42:20.000+02:00,192
361,Demanda programada PVP Consumo de Servicios Auxiliares,ok,,2026-08-12T15:42:20.000+02:00,192
362,Demanda programada PVP Corrección eólica,vacio,sin valores (aún no publicado),,0
363,Demanda programada PVP Corrección solar,vacio,sin valores (aún no publicado),,0
364,Demanda programada PVP Corrección REE,vacio,sin valores (aún no publicado),,0
365,Demanda programada P48 Comercializadores mercado libre,ok,,2026-08-13T00:55:57.000+02:00,192
366,Demanda programada P48 Comercializadores de referencia,ok,,2026-08-13T00:55:57.000+02:00,192
367,Demanda programada P48 Consumos directos en mercado,ok,,2026-08-13T00:55:57.000+02:00,192
368,Demanda programada P48 Consumo de Servicios Auxiliares,ok,,2026-08-13T00:55:57.000+02:00,192
369,Demanda programada P48 Corrección eólica,vacio,sin valores (aún no publicado),,0
370,Demanda programada P48 Corrección solar,vacio,sin valores (aún no publicado),,0
371,Demanda programada P48 Corrección REE,vacio,sin valores (aún no publicado),,0
372,Demanda programada PHF1 Comercializadores mercado libre,ok,,2026-08-12T17:15:05.000+02:00,192
373,Demanda programada PHF1 Comercializadores de referencia,ok,,2026-08-12T17:15:05.000+02:00,192
374,Demanda programada PHF1 Consumos directos en mercado,ok,,2026-08-12T17:15:05.000+02:00,192
375,Demanda programada PHF1 Consumo de Servicios Auxiliares,ok,,2026-08-12T17:15:05.000+02:00,192
376,Demanda programada PHF1 Corrección eólica,vacio,sin valores (aún no publicado),,0
377,Demanda programada PHF1 Corrección solar,vacio,sin valores (aún no publicado),,0
378,Demanda programada PHF1 Corrección REE,vacio,sin valores (aún no publicado),,0
386,Demanda programada PHF3 Comercializadores mercado libre,ok,,2026-08-12T14:20:37.000+02:00,48
387,Demanda programada PHF3 Comercializadores de referencia,ok,,2026-08-12T14:20:37.000+02:00,48
388,Demanda programada PHF3 Consumos directos en mercado,ok,,2026-08-12T14:20:37.000+02:00,48
389,Demanda programada PHF3 Consumo de Servicios Auxiliares,ok,,2026-08-12T14:20:37.000+02:00,48
390,Demanda programada PHF3 Corrección eólica,vacio,sin valores (aún no publicado),,0
391,Demanda programada PHF3 Corrección solar,vacio,sin valores (aún no publicado),,0
392,Demanda programada PHF3 Corrección REE,vacio,sin valores (aún no publicado),,0
400,Demanda programada PHF5 Comercializadores mercado libre,vacio,sin valores (aún no publicado),,0
401,Demanda programada PHF5 Comercializadores de referencia,vacio,sin valores (aún no publicado),,0
402,Demanda programada PHF5 Consumos directos en mercado,vacio,sin valores (aún no publicado),,0
