captura,fuente,motivo
2026-08-16-1150,sendeco2_eua,ausente
2026-08-16-1245,aemet_prediccion_diaria,ausente
2026-08-16-1245,aemet_prediccion_horaria,ausente
2026-08-16-1245,aemet_prediccion_periodos,ausente
2026-08-16-1245,esios_capacidad_instalada,ausente
2026-08-16-1245,mibgas_curva,ausente
2026-08-16-1245,sendeco2_eua,ausente
2026-08-16-1401,aemet_prediccion_diaria,ausente
2026-08-16-1401,aemet_prediccion_horaria,ausente
2026-08-16-1401,aemet_prediccion_periodos,ausente
2026-08-16-1401,esios_capacidad_instalada,ausente
2026-08-16-1401,mibgas_curva,ausente
2026-08-16-1401,sendeco2_eua,ausente
2026-08-16-1450,esios_capacidad_instalada,ausente
2026-08-16-1450,mibgas_curva,ausente
2026-08-16-1450,sendeco2_eua,ausente
2026-08-16-1554,aemet_prediccion_diaria,ausente
2026-08-16-1554,aemet_prediccion_horaria,ausente
2026-08-16-1554,aemet_prediccion_periodos,ausente
2026-08-16-1554,esios_capacidad_instalada,ausente
2026-08-16-1554,mibgas_curva,ausente
2026-08-16-1554,sendeco2_eua,ausente
2026-08-16-1741,esios_capacidad_instalada,ausente
2026-08-16-1741,mibgas_curva,ausente
2026-08-16-1741,sendeco2_eua,ausente
2026-08-16-1750,aemet_prediccion_diaria,ausente
2026-08-16-1750,aemet_prediccion_horaria,ausente
2026-08-16-1750,aemet_prediccion_periodos,ausente
2026-08-16-1750,esios_capacidad_instalada,ausente
2026-08-16-1750,mibgas_curva,ausente
2026-08-16-1750,sendeco2_eua,ausente
2026-08-16-1850,aemet_prediccion_diaria,ausente
2026-08-16-1850,aemet_prediccion_horaria,ausente
2026-08-16-1850,aemet_prediccion_periodos,ausente
2026-08-16-1850,esios_capacidad_instalada,ausente
2026-08-16-1850,mibgas_curva,ausente
2026-08-16-1850,sendeco2_eua,ausente
2026-08-16-2000,aemet_prediccion_diaria,ausente
2026-08-16-2000,aemet_prediccion_horaria,ausente
2026-08-16-2000,aemet_prediccion_periodos,ausente
2026-08-16-2000,esios_capacidad_instalada,ausente
2026-08-16-2000,mibgas_curva,ausente
2026-08-16-2000,sendeco2_eua,ausente
2026-08-16-2050,esios_capacidad_instalada,ausente
2026-08-16-2050,mibgas_curva,ausente
2026-08-16-2050,sendeco2_eua,ausente
2026-08-16-2138,aemet_prediccion_diaria,ausente
2026-08-16-2138,aemet_prediccion_horaria,ausente
2026-08-16-2138,aemet_prediccion_periodos,ausente
2026-08-16-2138,esios_capacidad_instalada,ausente
2026-08-16-2138,mibgas_curva,ausente
2026-08-16-2138,sendeco2_eua,ausente
2026-08-16-2200,aemet_prediccion_diaria,ausente
2026-08-16-2200,aemet_prediccion_horaria,ausente
2026-08-16-2200,aemet_prediccion_periodos,ausente
2026-08-16-2200,esios_capacidad_instalada,ausente
2026-08-16-2200,mibgas_curva,ausente
2026-08-16-2200,sendeco2_eua,ausente
2026-08-16-2337,esios_capacidad_instalada,ausente
2026-08-16-2337,mibgas_curva,ausente
2026-08-16-2337,sendeco2_eua,ausente
2026-08-16-2350,aemet_prediccion_diaria,ausente
2026-08-16-2350,aemet_prediccion_horaria,ausente
2026-08-16-2350,aemet_prediccion_periodos,ausente
2026-08-16-2350,esios_capacidad_instalada,ausente
2026-08-16-2350,mibgas_curva,ausente
2026-08-16-2350,sendeco2_eua,ausente
2026-08-17-0000,aemet_prediccion_diaria,ausente
2026-08-17-0000,aemet_prediccion_horaria,ausente
2026-08-17-0000,aemet_prediccion_periodos,ausente
2026-08-17-0000,esios_capacidad_instalada,ausente
2026-08-17-0000,mibgas_curva,ausente
2026-08-17-0000,sendeco2_eua,ausente
2026-08-17-0101,aemet_prediccion_diaria,ausente
2026-08-17-0101,aemet_prediccion_horaria,ausente
2026-08-17-0101,aemet_prediccion_periodos,ausente
2026-08-17-0101,esios_capacidad_instalada,ausente
2026-08-17-0101,mibgas_curva,ausente
2026-08-17-0101,sendeco2_eua,ausente
2026-08-17-0200,aemet_prediccion_diaria,ausente
2026-08-17-0200,aemet_prediccion_horaria,ausente
2026-08-17-0200,aemet_prediccion_periodos,ausente
2026-08-17-0200,esios_capacidad_instalada,ausente
2026-08-17-0200,mibgas_curva,ausente
2026-08-17-0200,sendeco2_eua,ausente
2026-08-17-0250,esios_capacidad_instalada,ausente
2026-08-17-0250,mibgas_curva,ausente
2026-08-17-0250,sendeco2_eua,ausente
2026-08-17-0534,esios_capacidad_instalada,ausente
2026-08-17-0534,mibgas_curva,ausente
2026-08-17-0534,sendeco2_eua,ausente
2026-08-17-0550,aemet_prediccion_diaria,ausente
2026-08-17-0550,aemet_prediccion_horaria,ausente
2026-08-17-0550,aemet_prediccion_periodos,ausente
2026-08-17-0550,esios_capacidad_instalada,ausente
2026-08-17-0550,mibgas_curva,ausente
2026-08-17-0550,sendeco2_eua,ausente
2026-08-17-0723,aemet_prediccion_diaria,ausente
2026-08-17-0723,aemet_prediccion_horaria,ausente
2026-08-17-0723,aemet_prediccion_periodos,ausente
2026-08-17-0723,esios_capacidad_instalada,ausente
2026-08-17-0723,mibgas_curva,ausente
