captura_madrid,indicador,nombre,estado,values_updated_at,fecha_min,fecha_max,dias_cubiertos,n_periodos,suma_valores,hash_valores
2026-08-14T01:12:12+02:00,259,Generación programada PHF5 Solar fotovoltaica,vacio,,,,0,0,,
2026-08-14T01:12:12+02:00,260,Generación programada PHF5 Solar térmica,vacio,,,,0,0,,
2026-08-14T01:12:12+02:00,292,Generación programada PHF6 Eólica terrestre,vacio,,,,0,0,,
2026-08-14T01:12:12+02:00,294,Generación programada PHF6 Solar fotovoltaica,vacio,,,,0,0,,
2026-08-14T01:12:12+02:00,295,Generación programada PHF6 Solar térmica,vacio,,,,0,0,,
2026-08-14T01:12:12+02:00,327,Generación programada PHF7 Eólica terrestre,vacio,,,,0,0,,
2026-08-14T01:12:12+02:00,329,Generación programada PHF7 Solar fotovoltaica,vacio,,,,0,0,,
2026-08-14T01:12:12+02:00,330,Generación programada PHF7 Solar térmica,vacio,,,,0,0,,
2026-08-14T01:12:12+02:00,434,Programa bilateral PBF Solar fotovoltaica,ok,2026-08-13T14:31:15.000+02:00,2026-08-13T05:30:00.000+02:00,2026-08-14T21:45:00.000+02:00,2,132,126181.1,c5aba8f983ffa14b
2026-08-14T01:12:12+02:00,1411,Generación programada PHFC Eólica terrestre,ok,2026-08-14T01:17:01.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T01:45:00.000+02:00,2,104,92078.9,8a2328d6ca145ce4
2026-08-14T01:12:12+02:00,1413,Generación programada PHFC Solar fotovoltaica,ok,2026-08-14T01:17:01.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T01:45:00.000+02:00,2,104,274292.7,1d9527f68e88a260
2026-08-14T01:12:12+02:00,1414,Generación programada PHFC Solar térmica,ok,2026-08-14T01:17:01.000+02:00,2026-08-13T00:00:00.000+02:00,2026-08-14T01:45:00.000+02:00,2,104,22297.1,46b6b2b83c22bedd
